Road Segment Start,Road Segment End,Status,Current Speed (km/h),Time
(1, 1),(1, 2),Blocked,N/A,0:00
(1, 1),(2, 1),Blocked,N/A,0:00
(1, 1),(1, 2),Blocked,N/A,1:00
(1, 1),(2, 1),Open,48,1:00
(1, 1),(1, 2),Blocked,N/A,2:00
(1, 1),(2, 1),Blocked,N/A,2:00
(1, 1),(1, 2),Blocked,N/A,3:00
(1, 1),(2, 1),Open,26,3:00
(1, 1),(1, 2),Blocked,N/A,4:00
(1, 1),(2, 1),Blocked,N/A,4:00
(1, 1),(1, 2),Open,42,5:00
(1, 1),(2, 1),Blocked,N/A,5:00
(1, 1),(1, 2),Blocked,N/A,6:00
(1, 1),(2, 1),Blocked,N/A,6:00
(1, 1),(1, 2),Open,17,7:00
(1, 1),(2, 1),Blocked,N/A,7:00
(1, 1),(1, 2),Blocked,N/A,8:00
(1, 1),(2, 1),Blocked,N/A,8:00
(1, 1),(1, 2),Blocked,N/A,9:00
(1, 1),(2, 1),Blocked,N/A,9:00
(1, 1),(1, 2),Open,48,10:00
(1, 1),(2, 1),Open,41,10:00
(1, 1),(1, 2),Blocked,N/A,11:00
(1, 1),(2, 1),Blocked,N/A,11:00
(1, 1),(1, 2),Open,30,12:00
(1, 1),(2, 1),Open,48,12:00
(1, 1),(1, 2),Blocked,N/A,13:00
(1, 1),(2, 1),Open,39,13:00
(1, 1),(1, 2),Blocked,N/A,14:00
(1, 1),(2, 1),Open,42,14:00
(1, 1),(1, 2),Blocked,N/A,15:00
(1, 1),(2, 1),Blocked,N/A,15:00
(1, 1),(1, 2),Open,22,16:00
(1, 1),(2, 1),Open,23,16:00
(1, 1),(1, 2),Blocked,N/A,17:00
(1, 1),(2, 1),Blocked,N/A,17:00
(1, 1),(1, 2),Open,34,18:00
(1, 1),(2, 1),Open,15,18:00
(1, 1),(1, 2),Open,38,19:00
(1, 1),(2, 1),Open,43,19:00
(1, 1),(1, 2),Open,27,20:00
(1, 1),(2, 1),Open,42,20:00
(1, 1),(1, 2),Open,40,21:00
(1, 1),(2, 1),Open,30,21:00
(1, 1),(1, 2),Blocked,N/A,22:00
(1, 1),(2, 1),Open,22,22:00
(1, 1),(1, 2),Blocked,N/A,23:00
(1, 1),(2, 1),Blocked,N/A,23:00
(1, 2),(1, 3),Blocked,N/A,0:00
(1, 2),(2, 2),Blocked,N/A,0:00
(1, 2),(1, 3),Open,41,1:00
(1, 2),(2, 2),Blocked,N/A,1:00
(1, 2),(1, 3),Blocked,N/A,2:00
(1, 2),(2, 2),Open,26,2:00
(1, 2),(1, 3),Blocked,N/A,3:00
(1, 2),(2, 2),Blocked,N/A,3:00
